Number,GivenName,Surname,Color,Kilograms,Centimeters,Latitude,Longitude
11381,Noëll,Pas,Black,88.6,151,47.742163,10.573429
11382,Akwaugo,Ifeatu,Black,62.6,172,41.285471,-72.956797
11383,Edwin,Ek,Black,86.5,184,50.305006,16.036469
11384,Goliwe,Chinwendu,White,67,157,40.715594,-73.604252
11385,Sayid,Kifle,Orange,84,174,41.324836,-72.927353
11386,Elsa,Wallace,Blue,78.6,163,36.805181,10.193731
11387,Marija Zofija,Bivic,Green,79.9,161,43.441271,-81.024973
11388,آیناز,خلیفه,Red,88.7,156,47.108864,7.305244
11389,Nick,Bezrukov,Blue,97.3,169,40.764689,-73.952206
11390,Vsevolod,Belousov,Blue,94.8,181,-34.754109,-55.73828
11391,Ukaegbunam,Madukwe,Blue,110.1,181,48.870386,2.400351
11392,Armen,Volkov,Blue,86.3,172,-36.798896,174.960541
11393,Eduardo,Sousa,Blue,107.5,171,-33.280807,-56.560136
11394,Miłogost,Pawłowski,Green,87,176,58.210293,25.515827
11395,Ania,Ostrowska,Red,51.9,154,51.250183,-1.146169
11396,淑玲,邵,Green,69.2,162,41.262263,-72.940818
11397,Hana,Maloof,Blue,88.3,177,46.968954,17.538358
11398,Luiz,Martins,Red,86,177,48.923112,15.963365
11399,Lanh,Chu,Blue,107.4,173,53.801049,-1.386363
11400,Ling,He,Purple,83.7,164,52.766785,5.814218
11401,Ludmiła,Wiśniewska,Blue,53.8,155,48.358226,-77.90028
11402,Sumnah,Gaber,Blue,97.9,158,-34.266942,19.071369
11403,Daniel,Braun,Blue,86,183,52.639716,0.918251
11404,Eemil,Virrankoski,Orange,73.3,169,41.370861,-72.970217
11405,Kerim,Karataev,Blue,109.4,174,47.183485,7.123636
11406,Felipe,Alves,Blue,97.1,168,55.690109,12.531
11407,Dale,Maas,Red,76.8,175,58.860604,23.727705
11408,Péter,Jónás,Blue,64,186,46.452343,14.157465
11409,Amedeo,Genovese,Brown,71.5,172,-29.762558,30.948529
11410,Tiblets,Goytiom,Blue,66.2,152,39.722956,-104.730762
11411,Mathilde,Soucy,Brown,100.2,155,49.521861,17.842158
11412,Lima,Pokrovskaya,Orange,80.5,166,55.990073,10.165384
11413,Martina,Šimunović,Blue,50.6,158,46.55012,16.224236
11414,Jin,Chuang,Red,58.7,153,60.332888,5.490589
11415,Tereza,Boháčová,Blue,98.6,161,38.845697,-9.323645
11416,Ted,Brandybuck,Blue,57.9,112,59.416048,26.328447
11417,Shu,van den Bor,Red,83.3,173,-38.516507,146.661519
11418,Рахиль,Черкасова,Green,53,163,48.370072,21.535723
11419,Nuwairah,Sleiman,Purple,76,156,65.893431,29.244685
11420,Matti,Vatanen,Blue,91.8,165,41.395314,-72.826012
11421,Cấp,Quynh,Blue,109.8,180,-30.004276,-50.896871
11422,Blanka,Walczak,Orange,58.1,169,50.775165,-2.744602
11423,Marzhan,Panova,Blue,54.7,156,47.431772,12.257216
11424,Bogdan,Radić,Blue,114,175,46.805033,14.800966
11425,Twan,Aarts,White,99.9,187,-41.659169,147.21161
11426,Totte,Holmgren,Blue,85.4,167,65.979961,-19.456756
11427,Agnieszka,Sokołowska,Blue,94.4,167,52.280517,-1.510907
11428,สุโนรี,ครุฑอาชา,Blue,69,166,41.235457,-72.993088
11429,Vui,Hồ,Blue,86.3,188,51.090736,3.773916
11430,Cassie,White,Blue,63.3,168,51.489288,21.134599
11431,Masatake,Yoshimoto,Green,93.9,170,50.972568,3.960678
11432,Menegilda,Boffin,Black,60.9,72,49.034299,-118.43207
11433,Bella,Westgarth,Purple,78.3,156,-32.584522,-53.482133
11434,Connor,Dodd,Black,89,188,58.456588,8.840266
11435,هرمز,خلیفه,Blue,82.5,169,-1.348263,-48.502721
11436,Andrew,Sutherland,White,69,172,52.328585,20.992692
11437,Hường,Chu,Green,84.7,160,-34.6193,-56.122298
11438,Masano,Kochi,Blue,77.8,160,50.385167,-4.088885
11439,Marco,Whitfoot,Blue,49.1,97,46.97093,7.632162
11440,Caleb,Wootten,Blue,91.8,171,55.745116,12.524515
11441,Shing,Wei,Green,96,165,56.470805,14.162534
11442,คมพิชญ์,นาสำแดง,Blue,63.1,175,41.256897,-96.001464
11443,Ibel,Villareal,Red,62.9,168,51.04248,3.853595
11444,Amelia,Moore,Red,72.3,162,58.937535,10.110536
11445,Yên,Chung,Yellow,74.4,170,54.260594,18.570561
11446,Nilo,Fernández,Black,89,187,50.188828,19.067441
11447,مهبان,کلایی نسب,Red,76.4,178,46.847767,7.882271
11448,João,Alves,Blue,114.1,183,46.745364,9.971763
11449,Jagoda,Michalska,Blue,95.6,166,40.954612,-8.57865
11450,Issei,Miyazaki,Blue,85.4,175,46.294738,15.274246
11451,Nazaaha,Touma,Black,99.7,167,-32.284681,-57.112037
11452,Luukas,Weckström,Blue,77.4,168,58.991541,25.984445
11453,Marco,Bunce,Blue,47,116,48.742638,2.432223
11454,Oluchukwu,Chimaraoke,Red,81.8,158,39.111808,8.689319
11455,Nikolett,Vas,Purple,80.4,153,-29.927653,-51.138509
11456,Aceline,Trépanier,Purple,83.5,164,50.064858,16.979776
11457,K'zhen,Kahnrah,Brown,71.9,189,60.875605,-46.01257
11458,哲也,今藤,Red,84.1,173,59.406673,27.987418
11459,Maisam,van Marwijk,Blue,99.9,152,-12.808502,-38.46631
11460,Rima,Takashima,Purple,54.1,156,57.952486,26.271225
11461,Jozsi,Szekeres,Brown,63,174,51.667563,5.407597
11462,Audvard,Koren,Black,83.4,175,52.51477,10.767602
11463,Vanesa,Seberová,Orange,65.8,151,77.536923,-69.285346
11464,Long,Han,Black,107.3,186,-35.746493,174.401317
11465,Nicole,Marcoux,Purple,96.7,152,46.696023,16.212571
11466,Li,Boereboom,Purple,67.3,159,61.155969,-48.165544
11467,Gang,Ting,Blue,73.1,170,41.278589,-8.445706
11468,อัศนะ,อินทร์ประสิทธิ์,Red,60.1,190,-41.284776,174.768188
11469,Emrah,Tovarović,Silver,81.7,169,43.628456,-79.46786
11470,Tyler,Boyle,Purple,92.2,174,-19.88271,-43.957981
11471,Abu,Bazhaev,Blue,102.8,184,55.7118,-2.702172
11472,Vefrid,Wilberg,Blue,47.3,175,40.057443,16.482404
11473,Meaza,Omar,Purple,78.2,162,46.532864,15.690742
11474,Marlene,Brown,Blue,74.1,156,-33.995171,25.607778
11475,Edward,Oliver,Blue,83.4,175,41.367289,-72.976138
11476,Adelmio,Milani,Green,96.9,185,41.513372,-8.395882
11477,Jeneta,Daluchineke,Brown,70.1,161,63.955572,-22.698278
11478,Udokamma,Okwuoma,Purple,70.3,170,40.664163,-4.235047
11479,กิจจา,สุขวาปี,Blue,71.7,172,51.157125,1.325655
11480,Ortsa,Panova,Blue,71.4,185,48.951865,2.387966
11481,Lucy,Aikenhead,Orange,101.7,157,46.929127,17.149243
11482,Gracie,Anderson,Orange,70.8,156,38.216688,-8.050538
11483,สุลัคณา,คำเสียง,Blue,83.6,170,60.434606,19.765951
11484,خدایار,طاهباز,Green,88.4,170,41.408474,-8.699658
11485,Zufan,Yonatan,Purple,59,163,77.037667,-68.999301
11486,K'Kura,Mergh,Green,83.8,164,54.713944,9.418423
11487,Nnonso,Chidi,Green,79.1,182,52.017134,4.373927
11488,Tamara,Panova,Blue,100.3,157,59.753948,10.196677
11489,孝慈,袁,Blue,65.7,160,56.738468,8.673742
11490,Yohannes,Simon,Blue,84.3,175,47.954181,21.118066
11491,สุประภากร,พิมเกิด,Blue,53.1,172,-28.16675,26.349716
11492,Costante,Trevisani,Blue,90.2,163,76.575746,-21.01518
11493,Maile,Grijalva,Blue,77.2,152,50.278807,19.216717
11494,Berislava,Rukavina,Blue,57.5,164,41.370489,-72.857036
11495,Rodrigo,Bergamaschi,Blue,85.3,178,-41.232027,174.829504
11496,Mark,Iversen,Green,93.7,181,47.495695,9.748268
11497,Nkemdirim,Chikwado,Blue,56.2,185,35.838457,10.643603
11498,Ludwika,Rutkowska,Blue,72.7,175,-26.563575,29.065272
11499,Max,Lewis,Blue,70.6,178,-32.936821,28.055481
11500,Miniya,Medhanie,Orange,48,174,34.793728,9.867682
11501,Miroslav,Ulyanov,Blue,75.2,168,-23.510386,-47.375708
11502,Даниил,Бородин,Blue,96.5,187,42.745545,13.700572
11503,昇典,趙,Blue,108.4,178,63.761539,-20.427451
11504,Rapuluchukwu,Ukaegbulam,Blue,75.9,165,54.962946,-2.556682
11505,Paulette,Parent,Purple,86.5,155,59.294274,11.116489
11506,Прасковья,Алиева,Green,71.1,164,64.678896,25.688166
11507,Mei,Yang,Green,93,154,41.256686,-72.914236
11508,Pavla,Blahová,Red,77.5,169,55.63626,9.670974
11509,Arichikunorikuto,,Red,93.2,188,-25.603543,25.994908
11510,Hugo,Neer,Green,63.1,177,46.066528,9.165776
11511,Kareema,Nahas,Green,75.8,152,41.331585,-72.992528
11512,Ben,Bull,Green,80.2,185,39.749272,-105.001883
11513,Tilly,Jansson,Red,77.5,162,40.148036,-8.755572
11514,Oskari,Reho,White,113.7,180,44.332773,10.857446
11515,Nasser,Toma,Blue,84.5,187,40.8471,9.418587
11516,Парамон,Черкасов,Blue,67.4,180,55.664178,12.465204
11517,Hanken,Spilde,Purple,65,165,54.358922,18.687359
11518,D'Reli,Kreth,Purple,100.4,155,-46.295246,168.317079
11519,Fuuya,Miyake,Blue,103.1,188,48.661026,14.392465
11520,Miska,Huovinen,Blue,77,167,39.67161,-8.484081
11521,Ted,Burrows,Blue,48.9,79,-36.13427,147.950115
11522,Søren,Josefsen,Blue,90.6,168,43.890638,-80.126947
11523,Hajnrich,Kamiński,Blue,100.1,162,52.108403,4.456362
11524,Savannah,Wicks,Purple,69.6,172,40.803326,-73.913544
11525,Peroline,Kronstad,Red,72.6,154,-33.73839,19.293288
11526,Ane,Tobiassen,Blue,89.6,162,48.27373,21.916038
11527,Ning,Chu,Blue,98.8,177,60.430737,5.327665
11528,Suraa,Maloof,Blue,72.9,172,41.313298,-72.886187
11529,Tyler,Curmi,Blue,71.2,183,41.279022,-72.878362
11530,กาณฑ์,พืชผักหวาน,Blue,70.1,189,49.097955,2.536259
11531,Ivett,Dobos,Blue,53.1,153,52.198535,20.949731
11532,Linda,Puddifoot,Blue,49.7,92,43.440516,-1.599528
11533,Ozoemena,Chimezie,Purple,53.1,154,-24.928643,28.35936
11534,Atifa,Graf,Purple,67.4,171,41.309643,-72.830528
11535,Martin,Voborník,Blue,70,174,46.390066,11.14544
11536,Angyalka,Sinko,Blue,74,153,47.688328,7.491249
11537,Hortense,René,Black,74.6,161,-23.76214,148.624676
11538,Anh,Ngô,Green,89.7,186,-26.51348,28.414797
11539,Linda,Alexander,Purple,51.3,169,44.315255,-80.086639
11540,داریا,شاه سیاه,Red,99.7,181,50.337672,5.110927
11541,Eupraxia,Gorbunova,Yellow,50.5,151,58.229272,26.40474
11542,Jett,Illingworth,Red,83.4,189,41.393472,-72.84754
11543,Karen,Josefsen,Blue,86.7,164,52.432955,4.884488
11544,Cleopatra,Solomina,Red,101.5,164,49.123374,16.760583
11545,Doreen,Aachen,Purple,74.1,158,41.297122,-72.946084
11546,Beatrice,Rocha,Blue,52.1,171,62.774264,24.227929
11547,Philippa,Ström,Blue,72.3,160,41.536347,2.071847
11548,Pierrette,Cuillerier,Purple,91.6,170,65.738909,18.006623
11549,Zach,Christie,Black,79.6,173,50.042721,14.40421
11550,Beata,Nowicka,Green,91.1,169,-32.751039,-56.1079
11551,گودرز,کریمی,Blue,91,166,45.795774,9.292551
11552,Genevre,Leblanc,Green,90.2,174,58.759847,5.813994
11553,Celendine,Bolger,Red,46,91,46.305182,18.36511
11554,Taisei,Ito,Black,77.5,188,51.304784,5.536881
11555,آذرگون,کلایی نسب,Green,87.6,165,35.30569,9.805475
11556,Krystyna,Maciejewska,Blue,73.9,154,64.122034,-22.651497
11557,Nwokike,Chineze,Blue,92.7,180,37.119207,-1.816273
11558,Frediana,Romano,Yellow,75.1,168,-33.074029,-57.960394
11559,実,冨澤,Blue,103.1,170,-23.66613,-46.472575
11560,Rinkashifu,,Blue,91,154,44.30905,7.755389
11561,Buga,Novaković,Black,85,151,46.039091,-73.112208
11562,Ditte,Carlsen,Green,72.9,152,41.396348,-72.933104
11563,Andreas,Dam,Blue,101.7,187,46.480841,16.185782
11564,Hafþór,Hallssonar,Blue,112.3,188,50.149203,4.596958
11565,Marta,Klementová,Green,67.1,164,47.580239,16.825928
11566,Thê,Hoàng,Green,51.6,164,44.853739,-0.600372
11567,Milislava,Šerek,Purple,94.2,165,45.683526,13.874303
11568,You,Li,Red,76.3,179,41.718507,-8.329617
11569,ชลธิชา,จิรชัยวาณิช,Purple,90,161,50.611839,-104.877275
11570,Debora,Padovano,Purple,50.2,159,50.762627,3.202234
11571,Meulén,Mayonga,Green,78.1,166,43.748851,-79.508952
11572,Thi,Chu,Blue,103.4,163,-2.733523,-44.37793
11573,Arsen,Pogač,Brown,73.4,177,59.472254,24.738731
11574,Sawsan,Shammas,Black,71.5,161,58.812561,14.176612
11575,Martin,Hermansen,Blue,112.8,172,50.100737,19.907751
11576,Scoville,Lagacé,Blue,98.5,172,47.016594,18.270937
11577,Esmeralda,Goodchild,Green,47.6,62,65.951975,-18.198084
11578,Ilona,Tokareva,Blue,101.9,166,-38.605075,178.06243
11579,Misora,Kimura,Green,87.6,172,43.667396,1.405045
11580,Joseph,Garcia,Red,97.3,169,-32.01042,-56.774528
11581,Patrycja,Kowalczyk,Blue,91.4,163,49.892048,13.012062
11582,富奎,孔,Blue,96.6,169,-37.723993,176.226468
11583,Girolamo,Piazza,Blue,106.3,172,41.301566,-72.853602
11584,Marlon,Lejeune,Blue,96,187,52.182184,20.98865
11585,Trahand,Greenhand,Blue,55,89,49.61284,-54.40002
11586,Lea,Maier,Purple,91.1,172,41.277706,-8.312954
11587,Franciszek,Duda,Blue,95,184,54.92156,9.417346
11588,Jamal,Najjar,Black,114.8,175,41.413145,-72.889791
11589,Scoville,Bilodeau,Blue,78.3,178,58.337357,25.321876
11590,Bao,Wang,Purple,101.2,165,49.029949,16.9102
11591,Лия,Горбунова,Blue,54.9,173,59.546965,25.984046
11592,Alena,Kašparová,Blue,53.1,168,52.980944,5.351234
11593,Knut,Sjögren,Blue,93.3,177,41.361139,-72.920777
11594,Sylvía,Guðgeirsdóttir,Orange,64.4,150,-34.905723,-54.737049
11595,Melota,Issarra,Purple,60.8,151,-43.277282,172.103564
11596,จิตรชนะ,เวียงจันทร์,Blue,59.3,186,41.271317,-72.857602
11597,Kinh,Lê,Purple,59.5,155,51.381376,-2.888693
11598,Ágatha,Silva,Black,93.3,154,60.285087,5.364806
11599,Leo,Lukić,Yellow,110,168,41.379141,-72.840876
11600,Novel,Bobrov,Green,94.6,169,46.131716,14.427679
11601,Riya,Hayakawa,Green,70.3,167,52.297898,4.412832
11602,Turner,Aupry,Blue,85.6,167,-26.223925,27.781779
11603,Alfonsa,Greece,Orange,54.4,152,44.933604,8.929509
11604,Audfinn,Westgård,Blue,95.6,186,38.993753,-9.05927
11605,Henriette,Lebel,Blue,53.5,159,53.011506,11.198195
11606,Emmie,Fraser,Purple,86.3,157,70.730308,-52.747697
11607,Safiyyah,Shamoun,Blue,84.9,156,-34.519265,-55.988629
11608,Ágatha,Alves,Green,57.6,168,47.213198,7.746112
11609,Gabryjel,Sokołowski,Green,62,164,60.165707,10.1634
11610,Valentina,Jakšić,Purple,85.6,174,41.392385,-72.835337
11611,Nkemjika,Somadina,Purple,96.5,167,69.181716,-51.019808
11612,Lassi,Ridanpää,Blue,109.6,177,37.14297,-8.824242
11613,Nizar,Koets,Blue,88.5,177,43.244929,5.382257
11614,Savannah,Persson,Orange,101,155,36.782961,10.338685
11615,Balbo,Boffin,Blue,58.5,69,41.349431,-72.901125
11616,Zikoranachidimma,Otutodilichukwu,Red,59.8,171,50.536722,3.240202
11617,Stanislav,Brož,Orange,94.7,176,-36.667871,144.272159
11618,Zerbino,Bérubé,Blue,91,181,-32.461032,-57.456319
11619,Giovana,Dias,Purple,84.3,160,41.395013,-72.997931
11620,Madison,Wright,Yellow,56.4,161,51.989567,5.767944
11621,Ivan,Eliáš,Blue,61.1,167,62.443383,16.361336
11622,Софья,Калинина,Brown,69.4,165,-41.147755,174.904409
11623,Valur,Þórisson,Blue,102.2,179,58.241603,15.015782
11624,Anthony,Faulkner,Yellow,113.9,180,58.898239,-122.475561
11625,Stephan,Koertig,Blue,110,188,50.371171,18.144921
11626,Ninh,Nghiêm,Green,75.3,182,52.458189,1.611391
11627,Cassandra,Esposito,Red,79.3,161,59.926638,10.835775
11628,فروه,مدرسی,Brown,60.5,153,41.280851,-72.912562
11629,Gabriel,Ribeiro,Red,102.3,179,-38.132825,145.517743
11630,Long,Lu,Green,76,184,41.383433,-72.965942
11631,Yul,Kung,Blue,86.7,167,-25.587357,152.592558
11632,Jakob,Christensen,Silver,99.8,167,44.305507,11.640728
11633,Lucas,Schou,Green,106.1,178,-36.261495,149.084915
11634,Zukululushikufu,,Blue,60.6,182,50.318981,19.025195
11635,Жанна,Пирогова,Blue,81.2,163,57.993953,26.159555
11636,Apolinary,Woźniak,Orange,78.7,181,64.142285,-21.895107
11637,Louie,Jones,Black,110.6,175,49.449244,1.068718
11638,Nao,Masuda,Silver,83.2,166,63.912464,-22.416262
11639,Augustus,Reilly,Blue,90.6,171,46.713788,16.838878
11640,Onfroi,Flamand,Silver,82.4,186,58.01166,13.561323
11641,Nijimi,Niwa,Black,72.3,158,-41.222794,173.211979
11642,Sara,Jokinen,Purple,96,165,51.409724,5.572626
11643,Sisko,Taipale,Purple,84.1,165,49.939921,18.056928
11644,Грета,Александрова,Red,83.3,158,51.363612,5.47179
11645,Baran,Lindberg,Blue,74.4,179,50.229093,6.53871
11646,Cailyn,Gray,Purple,58.4,169,-45.272398,169.267385
11647,Оксана,Миронова,Purple,71.4,157,41.845399,-8.701413
11648,Edelmiro,Sisneros,Blue,97.9,179,43.069291,-79.291217
11649,Anna,Péter,Purple,59,153,-22.702469,-43.275656
11650,政宏,路,Silver,96,182,63.138256,7.803185
11651,تیرداد,غلامی,Blue,76.9,185,-34.702365,-54.166109
11652,Nurishat,Karataev,Blue,55.1,168,-34.847555,-55.868584
11653,L'Rane,Klasq,Blue,51.7,169,61.4085,23.718438
11654,Kathleen,Haney,Purple,80.4,164,38.56816,-0.780519
11655,Diogo,Azevedo,Blue,90,180,37.978525,-1.179653
11656,Salihah,Almasi,Blue,106,156,-34.751833,-55.618019
11657,Oanh,Đặng,Blue,83.1,164,58.921599,5.810158
11658,Shamil,Khadzhiyev,Green,79.5,165,59.400659,24.685473
11659,Cảnh,Kim,Brown,73,184,-45.894985,170.463141
11660,翼,野沢,Green,76,169,42.212597,-1.079987
11661,書媺,洪,Purple,65,171,-5.589247,-50.037033
11662,Futsum,Zula,Red,55.4,183,41.105117,-8.540784
11663,子歆,范,Purple,87.7,165,-20.35033,-47.831759
11664,Desimir,Popović,Blue,100.9,178,49.329742,-123.209955
11665,Sven,Kuhn,Blue,102.4,183,35.188082,-89.879955
11666,婷婷,潘,Purple,62,156,60.025463,19.828058
11667,Yakha,Shervashidze,Blue,98.9,169,43.67517,-91.860732
11668,กัมปนารถ,รัษฐปานะ,Black,89.4,178,41.393597,-72.822518
11669,Květoslava,Škarková,Purple,88.6,166,47.564992,18.706515
11670,สุมุครินทร์,แจ่มกลิ่น,Purple,89.3,162,59.326135,11.210943
11671,Thomas,Moore,Black,92.4,168,53.199195,8.612732
11672,Niall,Marshall,Blue,105.4,184,39.513291,-0.468639
11673,Svitlana,Posavec,Brown,84.3,161,60.875066,11.102695
11674,Jamie,Sparks,Silver,71,174,41.36739,-72.905297
11675,Jacques,Frappier,Green,99.4,184,64.123132,-22.78436
11676,Petrus,Guzmán,Silver,70.5,163,-33.982836,-57.48697
11677,مستانه,ثانی,Purple,60,161,56.731079,8.664178
11678,Aleesha,Simpson,Blue,83.8,151,36.326758,9.34383
11679,Yohannes,Muhammed,Blue,82,184,-32.376874,28.222547
11680,Odon,Vas,Blue,63.5,172,48.157873,20.359587
11681,Theodore,Afanasyev,Blue,102.5,182,48.947031,8.944123
11682,怡安,郭,Blue,87.3,169,39.935157,15.446673
11683,Karolin,Durr,Purple,66.6,169,46.172399,4.7802
11684,Muslim,Belousov,Black,84.9,186,-23.733276,-46.626029
11685,Наталия,Бодро́ва,Blue,83.6,158,51.952208,4.491447
11686,Madeleine,Mackay,Purple,78.2,163,57.667303,26.902758
11687,Giovanna,Goncalves,Black,59.4,161,59.221002,26.674282
11688,Linda,Björnsdóttir,Red,56.2,172,64.318085,-15.139904
11689,Caitlin,Browne,Blue,70.9,164,46.392288,14.371173
11690,匠,岩澤,Green,81.9,166,-22.854737,-46.957858
11691,Alem,Sebhat,Green,70.1,173,65.682899,15.228897
11692,Ba'el,Valdyr,Blue,87.2,167,46.116128,14.611372
11693,晏瑜,孫,Purple,89.4,168,35.378396,8.16327
11694,Uranio,Fanucci,Green,91,180,-15.651948,-56.161186
11695,Ruslan,Umkhayev,Blue,98.8,185,51.878786,-2.592692
11696,Kim,Lưu,Green,83,170,44.446139,9.041644
11697,Mattias,Bettink,Blue,96.6,171,41.369357,-72.843397
11698,Maxima,Rumble,Purple,63.5,69,55.694172,12.561683
11699,Sun,Hou,Blue,84.7,174,49.907158,17.639
11700,Raraka,Oohara,Purple,51.6,174,46.280672,14.376882
11701,Danijela Ana,Baklan,Brown,77.1,164,36.860442,10.176831
11702,Ali,Sandberg,Green,116.7,172,46.201735,-63.171692
11703,Sijgje,van Zelm,Purple,53.4,162,-16.811032,-49.16979
11704,若凡,孟,Blue,97.6,184,-31.695675,-56.19614
11705,Vitoria,Melo,Brown,95.5,151,-34.91706,138.716954
11706,Fadl,Hadad,White,64.8,185,41.256442,-72.964141
11707,Natalie,Hoysted,Blue,84.2,163,58.426336,24.412209
11708,مانی,گلی,Black,109.8,184,50.008274,18.402892
11709,Zara,Allan,Yellow,94.8,160,63.360348,10.400989
11710,Jun,Tseng,Blue,64.1,188,36.78482,10.10974
11711,Freya,Varela,Purple,52.7,151,52.923892,13.750023
11712,ทฤษฎี,โรจน์อติเรกปัญญา,Blue,89.3,173,47.555335,19.175142
11713,Juliana,Volfová,Orange,71.4,162,40.595697,-3.385189
11714,Blanka,Poljak,Green,55.8,170,52.074701,11.689608
11715,Steffen,Strauss,Blue,60.2,175,68.70764,-52.921245
11716,Bojan,Ilić,Blue,75.4,183,43.206272,-3.214216
11717,Arjo,van de Noort,Blue,85.2,169,42.2866,13.392595
11718,Anke,Kuhn,Purple,52.6,168,52.13303,1.216095
11719,Przemko,Pawłowski,Green,107.2,181,44.787634,11.117203
11720,Diana,Baumgartner,Green,89.4,152,58.283193,22.601525
11721,Badruddin,Godina,Blue,99.4,174,-30.12839,152.666568
11722,Hiệp,Đoàn,Blue,94.1,177,47.317499,8.230675
11723,Lukas,Farber,Orange,96.7,182,50.88643,3.685985
11724,Gabriella ,Genovese,Purple,64.1,168,39.606418,-104.857501
11725,Quí,Thạch,Green,81.6,166,38.5285,14.63762
11726,Nokachishikimikika,,Blue,61.8,153,54.175757,16.231001
11727,Asyat,Ryzaev,Yellow,69,162,46.122298,18.33484
11728,Zenzo,Pacheco,Green,88.4,188,45.664987,8.028091
11729,Pavo,Jakšić,Blue,80,174,41.417906,-72.94958
11730,Leokadia,Król,Blue,83.7,158,47.230253,8.112351
11731,Patrick,Reilly,Red,110.4,183,-35.676513,146.322545
11732,Thể,Quynh,Blue,67.7,184,48.291484,11.436702
11733,Krešo,Božić,Green,97.3,190,41.183819,-5.847024
11734,Luke,Vincent,Blue,92.6,164,-34.810487,-55.935294
11735,Jorja,Liddell,Blue,62.5,156,49.543639,5.48584
11736,Pippin,Goold,Green,63.4,84,41.242021,-72.856434
11737,Madeleine,Dawson,Green,71.5,163,47.961191,15.775833
11738,Andreas,Steffensen,Black,70.9,167,55.736936,12.518417
11739,Mekirinzukushitafu,,Green,79.2,172,60.412578,5.117759
11740,Matheus,Barros,Green,54.7,168,-31.824007,115.775464
11741,Rabiye,Leidelmeijer,Purple,101.4,168,46.983339,14.595087
11742,Aino,Helminen,Green,48.9,171,41.292878,-72.854734
11743,Chiazagomekpere,Chieloka,Red,67.1,166,44.84966,-0.59695
11744,Sinikka,Kauppinen,Blue,91.7,157,43.661931,-79.378392
11745,Ejimofor,Mbanefo,Black,51.3,162,55.623239,12.600365
11746,Снежана,Воробьёва,Purple,59.9,166,50.486543,13.895722
11747,Ambrosia,Genovese,Blue,72.2,173,60.233645,24.966893
11748,Nansen,Vestergaard,Blue,91.9,178,61.736127,24.426991
11749,Natsnet,Luwam,Blue,66.3,166,41.364879,-72.926427
11750,Božica,Kos,Green,91.5,158,42.403261,-82.936694
11751,Luz,Banda,Red,70,155,51.888791,15.430671
11752,Ofelia,Rael,Red,85.6,172,34.109047,-81.100777
11753,Gemma,Taylor,Blue,54.4,159,39.304752,9.246832
11754,Belladonna,Roper,Blue,56.7,98,60.470243,16.344084
11755,Rinkimirikakuta,,Blue,84.6,170,66.176022,-23.268946
11756,于倩,陶,Purple,70.5,161,48.924866,14.528778
11757,Ostoja,Jerković,Blue,86.1,184,64.176754,-51.81696
11758,Númi,Arnarsson,Red,109.3,172,48.422515,-4.48553
11759,Yefim,Seleznev,Black,111,172,43.409443,-79.88726
11760,Baldovino,Cattaneo,Yellow,109.5,183,34.820025,-92.261875
11761,Felix,Söderberg,Blue,75.2,165,-28.975864,152.659978
11762,Scarlett,Foster,Green,91.3,161,47.470589,7.508341
11763,明美,平佐,Green,47.6,175,40.043982,-8.701481
11764,Nokutokutamonoku,,Blue,59.5,151,-30.818528,25.792047
11765,Ryan,Brooks,Blue,86.5,175,51.905688,4.33051
11766,Rhonda,Singh,Green,87.3,165,55.735035,-3.553182
11767,Kauã,Silva,Blue,67.3,175,51.216717,3.258916
11768,Jolan,Miklós,Green,69.9,167,41.166252,-5.599763
11769,Apolonia,Kwiatkowska,Blue,78.3,154,49.895163,12.107217
11770,Cerdic,Longhole,Blue,63.7,76,60.245333,24.676323
11771,Yolanda,Roper,Blue,61.1,68,36.838195,10.061173
11772,Mattías,Hreggviðsson,Blue,76.5,171,57.463606,-3.297645
11773,Julius,Balabanov,Black,72.4,167,46.291236,14.410201
11774,Есения,Козлова,Blue,52.4,170,-33.391541,18.672381
11775,誠,網野,Blue,67.9,185,59.704992,10.230566
11776,Hilmir,Yngvason,Blue,72.2,167,41.13963,-8.426139
11777,Þorkell,Antonsson,Red,102.9,188,46.00462,14.900108
11778,Ming,Cheng,Blue,86.3,175,-22.987453,141.97735
11779,Karel,Švarc,Black,103.4,179,41.254115,-72.954639
11780,Erik,Isaksen,Blue,102.1,179,41.282886,-72.91151
11781,Ruby,Puddifoot,Black,45.4,70,41.293465,-3.947323
11782,خدایار,مدرسی,Blue,61.4,177,47.653485,18.082918
11783,Иннокентий,Комаров,Blue,63.9,183,60.277656,5.233603
11784,Bodo,Brockhouse,Blue,46.3,89,39.774814,-8.831169
11785,Krume,Vrbanec,Green,103,169,52.678953,13.267718
11786,Drago,Marjanović,Orange,78.6,170,52.714616,6.881229
11787,Deborah,Leal,Blue,60,164,-23.570872,-47.359075
11788,Elita,Sultanovich,Blue,71.9,159,62.63131,22.350117
11789,Tumek,Xypeni,Green,62.8,187,41.317883,-72.829923
11790,美優,民谷,Blue,57.7,165,51.152002,5.316749
11791,Nuriel,Sosa,Blue,93.9,161,46.058983,15.497881
11792,Ella,Bindon,Red,52.7,160,50.105567,19.928085
11793,Friðsteinn,Geirsson,Black,107.5,181,47.249934,7.798473
11794,Csaba,Erdôs,Blue,72.7,166,47.162507,7.563154
11795,Yasuha,Aoki,Yellow,54.7,165,43.659989,-79.324443
